Job Title,Company,Location,Salary,Category,Benefits,Extract Date,Posted Date,Website,Job URL
Admin Assistant,Katimas Infotech Sdn Bhd,"Kuching, Sarawak","RM 1,800 – RM 2,200 per month","Accounts Officers/ClerksAccounts Officers/Clerks , Accounting(Accounting)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76446699?type=standout&ref=search-standalone
"Assistant Manager, Field Sales (Kuching - Consumer Goods)",DKSH Malaysia Sdn Bhd,"Kuching, Sarawak",,"Account & Relationship ManagementAccount & Relationship Management , Sales(Sales)",Career AdvancementAttractive Employee BenefitsCertified as Great Place To Work,09-06-2024,9h ago,Jobstreet,https://www.jobstreet.com.my/job/76468036?type=standout&ref=search-standalone
Account Assistant,Katimas Sdn Bhd,"Kuching, Sarawak","RM 1,800 – RM 2,400 per month","Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)","Competitive Salary Package (Yearly Bonus & Increment)Attractive Benefits (Car Allowance, Meal Allowance, Medical, Optical, Dental)5 working day in a week",09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76449530?type=standout&ref=search-standalone
Supply Chain Manager,Lai Ngit Sen Sdn Bhd,"Kuching, Sarawak","RM 6,000 – RM 8,000 per month","Warehousing, Storage & DistributionWarehousing, Storage & Distribution , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,11h ago,Jobstreet,https://www.jobstreet.com.my/job/76467670?type=standard&ref=search-standalone
Facebook or TikTok Live Stream Host,Private Advertiser,"Kuching, Sarawak","RM 3,500 – RM 5,000 per month","Marketing CommunicationsMarketing Communications , Marketing & Communications(Marketing & Communications)",,09-06-2024,10h ago,Jobstreet,https://www.jobstreet.com.my/job/76467800?type=standard&ref=search-standalone
Admin Clerk,Private Advertiser,"Kuching, Sarawak",,"Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",,09-06-2024,1d ago,Jobstreet,https://www.jobstreet.com.my/job/76460193?type=standard&ref=search-standalone
Warehouse Supervisor,Mastering Services Sdn. Bhd.,"Kuching, Sarawak","RM 3,500 – RM 5,200 per month","Warehousing, Storage & DistributionWarehousing, Storage & Distribution , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",Fast track AdvancementSalary negotiable based on experiencesMedical benefits,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76448579?type=standout&ref=search-standalone
Account Executive,Katimas Sdn Bhd,"Kuching, Sarawak","RM 2,800 – RM 4,000 per month","Bookkeeping & Small Practice AccountingBookkeeping & Small Practice Accounting , Accounting(Accounting)","Competitive Salary Package (Yearly Bonus & Increment)Attractive Benefits (Car Allowance, Meal Allowance, Medical, Optical, Dental)5 working day in a week",09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76448164?type=standout&ref=search-standalone
Business Development Executive,Katimas Sdn Bhd,"Kuching, Sarawak","RM 3,000 – RM 3,500 per month","New Business DevelopmentNew Business Development , Sales(Sales)",Conducive Working Environment,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76415397?type=standout&ref=search-standalone
Customer Service Administrator - The Northbank Club,IBRACO BERHAD,"Kuching, Sarawak",,"Administrative AssistantsAdministrative Assistants , Administration & Office Support(Administration & Office Support)",Outpatient Medical TreatmentDental TreatmentOpthalmology Treatment,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76440854?type=standout&ref=search-standalone
